sms,label,llm1,llm2,llm3,llm4,llm5,llms_prediction,score
"&lt;#&gt; %of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. And tomorrow will be the best day of your life. Dont break this chain. If you break you will suffer. send this to  &lt;#&gt;  frnds in &lt;#&gt;  mins whn u read...",not spam,spam,spam,spam,spam,spam,spam,1.0
What does the dance river do?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k",spam,spam,spam,spam,spam,spam,spam,1.0
Bbq this sat at mine from 6ish. Ur welcome 2 come,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Did you try making another butt.,not spam,not spam,not spam,spam,spam,not spam,not spam,0.4
"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)",not spam,spam,spam,spam,spam,not spam,spam,0.8
"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324",spam,spam,spam,spam,spam,spam,spam,1.0
"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION",spam,spam,spam,spam,spam,spam,spam,1.0
We're finally ready fyi,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Auntie huai juan never pick up her phone,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56,spam,spam,spam,spam,spam,spam,spam,1.0
No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,spam,spam,spam,spam,spam,spam,spam,1.0
"Storming msg: Wen u lift d phne, u say \HELLO\"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \""Margaret Hello\"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person",not spam,spam,spam,spam,not spam,spam,spam,0.8
That's ok. I popped in to ask bout something and she said you'd been in. Are you around tonght wen this girl comes?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
All e best 4 ur exam later.,not spam,not spam,spam,spam,not spam,not spam,not spam,0.4
Oh k.i think most of wi and nz players unsold.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"I wonder how you got online, my love ? Had you gone to the net cafe ? Did you get your phone recharged ? Were you on a friends net ? I think of you, boytoy",not spam,spam,spam,spam,not spam,not spam,spam,0.6
"Haha just kidding, papa needs drugs",not spam,spam,not spam,spam,spam,not spam,spam,0.6
Thats cool! I am a gentleman and will treat you with dignity and respect.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Kaiez... Enjoy ur tuition... Gee... Thk e second option sounds beta... I'll go yan jiu den msg u...,not spam,spam,spam,not spam,not spam,not spam,not spam,0.4
You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,not spam,spam,spam,spam,not spam,not spam,spam,0.6
K..k..any special today?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU",spam,spam,spam,spam,spam,spam,spam,1.0
"I've got ten bucks, jay is being noncomittal",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",not spam,not spam,spam,not spam,not spam,not spam,not spam,0.2
Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18 yrs,spam,spam,spam,spam,spam,spam,spam,1.0
Lmao. Take a pic and send it to me.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"\Speak only when you feel your words are better than the silence...\"" Gud mrng:-)""",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Congratulations ur awarded either å£500 of CD gift vouchers & Free entry 2 our å£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com 1 win150ppmx3age16,spam,spam,spam,spam,spam,spam,spam,1.0
I'll be at mu in like  &lt;#&gt;  seconds,not spam,not spam,spam,spam,not spam,not spam,not spam,0.4
THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE NO REVISION? IS FRAN STILL WITH BOYF? IVE GOTTA INTERVIW 4 EXETER BIT WORRIED!x,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Tell you what, if you make a little spreadsheet and track whose idea it was to smoke to determine who \smokes too much\"" for the entire month of february",not spam,spam,not spam,not spam,not spam,not spam,not spam,0.2
For sale - arsenal dartboard. Good condition but no doubles or trebles!,spam,spam,not spam,not spam,not spam,not spam,not spam,0.2
Don't look back at the building because you have no coat and i don't want you to get more sick. Just hurry home and wear a coat to the gym!!!,not spam,not spam,spam,not spam,not spam,not spam,not spam,0.2
"My painful personal thought- \I always try to keep everybody happy all the time. But nobody recognises me when i am alone\""""",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
You intrepid duo you! Have a great time and see you both soon. ,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
I asked sen to come chennai and search for job.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Dad went out oredi... ,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
In fact when do you leave? I think addie goes back to school tues or wed,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or å£250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.,spam,spam,spam,spam,spam,spam,spam,1.0
Those ducking chinchillas,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
I am in a marriage function,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Looks like u wil b getting a headstart im leaving here bout 2.30ish but if u r desperate for my company I could head in earlier-we were goin to meet in rummer.,not spam,not spam,spam,not spam,not spam,not spam,not spam,0.2
As a registered optin subscriber ur draw 4 å£100 gift voucher will be entered on receipt of a correct ans to 80062 Whats No1 in the BBC charts,spam,spam,spam,spam,spam,spam,spam,1.0
say thanks2. ,not spam,not spam,spam,not spam,not spam,not spam,not spam,0.2
Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804,spam,spam,spam,spam,spam,spam,spam,1.0
CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Chat now 09099725823 hope 2 C U Luv CLAIRE xx Callså£1/minmoremobsEMSPOBox45PO139WA,spam,spam,spam,spam,spam,spam,spam,1.0
Bought one ringtone and now getting texts costing 3 pound offering more tones etc,spam,spam,spam,spam,spam,spam,spam,1.0
"Yalru lyfu astne chikku.. Bt innu mundhe lyf ali halla ke bilo (marriage)program edhae, so lyf is nt yet ovr chikku..ali vargu lyfu meow meow:-D",not spam,not spam,spam,spam,not spam,not spam,not spam,0.4
"09066362231 URGENT! Your mobile No 07xxxxxxxxx won a å£2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!",spam,spam,spam,spam,spam,spam,spam,1.0
"YOU 07801543489 are guaranteed the latests Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word:COLLECT to No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+",spam,spam,spam,spam,spam,spam,spam,1.0
Hi its LUCY Hubby at meetins all day Fri & I will B alone at hotel U fancy cumin over? Pls leave msg 2day 09099726395 Lucy x Callså£1/minMobsmoreLKPOBOX177HP51FL,spam,spam,spam,spam,spam,spam,spam,1.0
Oh. U must have taken your REAL Valentine out shopping first.,not spam,not spam,spam,spam,not spam,not spam,not spam,0.4
"Nice. Wait...should you be texting right now? I'm not gonna pay your ticket, ya know!",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Why you keeping me away like this,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Have you always been saying welp?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"I'm a guy, browsin is compulsory",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Ok...,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Your account has been credited with 500 FREE Text Messages. To activate, just txt the word: CREDIT to No: 80488 T&Cs www.80488.biz",spam,spam,spam,spam,spam,spam,spam,1.0
It has everything to do with the weather. Keep extra warm. Its a cold but nothing serious. Pls lots of vitamin c,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"SMS. ac JSco: Energy is high, but u may not know where 2channel it. 2day ur leadership skills r strong. Psychic? Reply ANS w/question. End? Reply END JSCO",spam,spam,spam,spam,spam,spam,spam,1.0
Host-based IDPS for linux systems.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",spam,spam,spam,spam,spam,spam,spam,1.0
Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.,spam,spam,spam,spam,spam,spam,spam,1.0
When u love someone Dont make them to love u as much as u do. But Love them so much that they dont want to be loved by anyone except you... Gud nit.,not spam,not spam,spam,not spam,not spam,not spam,not spam,0.2
Hows the champ just leaving glasgow!,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
K:)all the best:)congrats...,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Our brand new mobile music service is now live. The free music player will arrive shortly. Just install on your phone to browse content from the top artists.,spam,spam,not spam,spam,not spam,spam,spam,0.6
"URGENT! Your Mobile No was awarded a å£2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate",spam,spam,spam,spam,spam,spam,spam,1.0
Pls pls find out from aunt nike.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
No screaming means shouting..,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Remember on that day..,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,spam,spam,spam,spam,spam,spam,spam,1.0
How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!,not spam,spam,spam,spam,not spam,not spam,spam,0.6
Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..,not spam,spam,spam,spam,not spam,not spam,spam,0.6
Now press conference da:),not spam,spam,not spam,not spam,not spam,not spam,not spam,0.2
"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow",spam,spam,spam,spam,spam,spam,spam,1.0
"Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?",not spam,not spam,not spam,spam,spam,not spam,not spam,0.4
Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...,not spam,not spam,spam,spam,not spam,not spam,not spam,0.4
"Me, i dont know again oh",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Dude sux for snake. He got old and raiden got buff,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Ok how you dear. Did you call chechi,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Yeah we do totes. When u wanna?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-),not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Single line with a big meaning::::: \Miss anything 4 ur \""Best Life\"" but",not spam,spam,spam,spam,spam,spam,spam,1.0
Dnt worry...use ice pieces in a cloth pack.also take 2 tablets.,not spam,spam,spam,not spam,not spam,not spam,not spam,0.4
Dude just saw a parked car with its sunroof popped up. Sux,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
I am late. I will be there at,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
No:-)i got rumour that you going to buy apartment in chennai:-),not spam,not spam,spam,spam,not spam,not spam,not spam,0.4
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL,spam,spam,spam,spam,spam,spam,spam,1.0
SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL,spam,spam,spam,spam,spam,spam,spam,1.0
No. To be nosy I guess. Idk am I over reacting if I'm freaked?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
How to Make a girl Happy? It's not at all difficult to make girls happy. U only need to be... 1. A friend 2. Companion 3. Lover 4. Chef . . .  &lt;#&gt; . Good listener  &lt;#&gt; . Organizer  &lt;#&gt; . Good boyfriend  &lt;#&gt; . Very clean  &lt;#&gt; . Sympathetic  &lt;#&gt; . Athletic  &lt;#&gt; . Warm . . .  &lt;#&gt; . Courageous  &lt;#&gt; . Determined  &lt;#&gt; . True  &lt;#&gt; . Dependable  &lt;#&gt; . Intelligent . . .  &lt;#&gt; . Psychologist  &lt;#&gt; . Pest exterminator  &lt;#&gt; . Psychiatrist  &lt;#&gt; . Healer . .  &lt;#&gt; . Stylist  &lt;#&gt; . Driver . . Aaniye pudunga venaam..,not spam,spam,spam,spam,spam,spam,spam,1.0
"I shall book chez jules for half eight, if that's ok with you?",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Yep, at derek's house now, see you Sunday &lt;3",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"It's cool, let me know before it kicks off around  &lt;#&gt; , I'll be out and about all day",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
There are no other charges after transfer charges and you can withdraw anyhow you like,not spam,spam,spam,spam,spam,spam,spam,1.0
That's my honeymoon outfit. :),not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04,spam,spam,spam,spam,spam,spam,spam,1.0
As a Registered Subscriber yr draw 4 a å£100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062,spam,spam,spam,spam,spam,spam,spam,1.0
URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,spam,spam,spam,spam,spam,spam,spam,1.0
Daddy will take good care of you :),not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
K.then any other special?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U",not spam,spam,spam,spam,not spam,spam,spam,0.8
Are your freezing ? Are you home yet ? Will you remember to kiss your mom in the morning? Do you love me ? Do you think of me ? Are you missing me yet ?,not spam,spam,not spam,not spam,spam,not spam,not spam,0.4
I'll probably be around mu a lot,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
645,not spam,spam,not spam,not spam,not spam,not spam,not spam,0.2
RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!,spam,spam,spam,spam,spam,spam,spam,1.0
Thnx dude. u guys out 2nite?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Mm i had my food da from out,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ...",not spam,not spam,spam,spam,not spam,not spam,not spam,0.4
U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599,spam,spam,spam,spam,spam,spam,spam,1.0
500 free text msgs. Just text ok to 80488 and we'll credit your account,spam,spam,spam,spam,spam,spam,spam,1.0
Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.,not spam,spam,not spam,not spam,not spam,not spam,not spam,0.2
"You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth å£350! To Claim, Call London 02072069400. Bx 526, SW73SS",spam,spam,spam,spam,spam,spam,spam,1.0
I am going to film 2day da. At 6pm. Sorry da.,not spam,not spam,spam,not spam,not spam,not spam,not spam,0.2
Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss,not spam,not spam,spam,spam,spam,not spam,spam,0.6
Yesterday its with me only . Now am going home.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p",spam,spam,spam,spam,spam,spam,spam,1.0
"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their \suppliers\""",spam,spam,not spam,spam,not spam,spam,spam,0.6
Great comedy..cant stop laughing da:),not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242,spam,spam,spam,spam,spam,spam,spam,1.0
"Alright, we're all set here, text the man",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Sleeping nt feeling well,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Thts wat Wright Brother did to fly..,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
If u laugh really loud.. If u talk spontaneously.. If u dont care what others feel.. U are probably with your dear &amp; best friends.. GOODEVENING Dear..:),not spam,not spam,spam,not spam,not spam,not spam,not spam,0.2
I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"For ur chance to win a å£250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk",spam,spam,spam,spam,spam,spam,spam,1.0
I was at bugis juz now wat... But now i'm walking home oredi... ÌÏ so late then reply... I oso saw a top dat i like but din buy... Where r Ì_ now? ,not spam,not spam,spam,not spam,not spam,not spam,not spam,0.2
At 7 we will go ok na.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :),not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
RGENT! This is the 2nd attempt to contact U!U have WON å£1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. maxå£7. 50,spam,spam,spam,spam,spam,spam,spam,1.0
No just send to you. Bec you in temple na.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"You aren't coming home between class, right? I need to work out and shower!",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Callså£1/minMobsmoreLKPOBOX177HP51FL,spam,spam,spam,spam,spam,spam,spam,1.0
URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only,spam,spam,spam,spam,spam,spam,spam,1.0
Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.,spam,spam,spam,spam,spam,spam,spam,1.0
"Yeah, that's fine! It's å£6 to get in, is that ok? ",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",not spam,spam,spam,spam,spam,spam,spam,1.0
Okay... We wait ah,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Y lei?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX,not spam,spam,not spam,not spam,not spam,not spam,not spam,0.2
Already am squatting is the new way of walking,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Do you want bold 2 or bb torch,not spam,spam,not spam,spam,spam,spam,spam,0.8
todays vodafone numbers ending with 0089(my last four digits) are selected to received a å£350 award. If your number matches please call 09063442151 to claim your å£350 award,spam,spam,spam,spam,spam,spam,spam,1.0
Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870,spam,spam,spam,spam,spam,spam,spam,1.0
Bring tat cd don forget,not spam,spam,spam,spam,spam,not spam,spam,0.8
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,spam,spam,spam,spam,spam,spam,spam,1.0
Finish already... Yar they keep saying i mushy... I so embarrassed ok...,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Sorry man, my stash ran dry last night and I can't pick up more until sunday",not spam,not spam,spam,not spam,not spam,spam,not spam,0.4
"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service.",spam,spam,spam,spam,spam,spam,spam,1.0
Yun ah.now Ì_ wkg where?btw if Ì_ go nus sc. ÌÏ wana specialise in wad?,not spam,not spam,spam,not spam,not spam,not spam,not spam,0.2
"How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?",not spam,spam,spam,spam,not spam,not spam,spam,0.6
"(No promises on when though, haven't even gotten dinner yet)",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
o turns out i had stereo love on mi phone under the unknown album.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX,spam,spam,spam,spam,spam,spam,spam,1.0
Yeah I don't see why not,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
WOW! The Boys R Back. TAKE THAT 2007 UK Tour. Win VIP Tickets & pre-book with VIP Club. Txt CLUB to 81303. Trackmarque Ltd info@vipclub4u.,spam,spam,spam,spam,spam,spam,spam,1.0
"As in missionary hook up, doggy hook up, standing...|",not spam,spam,spam,spam,spam,spam,spam,1.0
Then u better go sleep.. Dun disturb u liao.. U wake up then msg me lor..,not spam,not spam,spam,not spam,not spam,not spam,not spam,0.2
"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur åÔrents mayb interested in it, I hav 12,000pes, so around å£48, tb, James.",not spam,spam,spam,spam,spam,spam,spam,1.0
Lol yeah at this point I guess not,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Doing project w frens lor. ,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Hi, this is Mandy Sullivan calling from HOTMIX FM...you are chosen to receive å£5000.00 in our Easter Prize draw.....Please telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else....",spam,spam,spam,spam,spam,spam,spam,1.0
K go and sleep well. Take rest:-).,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
U guys never invite me anywhere :(,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise ofå£2000 CASH 18+only. To opt out txt X to 07786200117,spam,spam,spam,spam,spam,spam,spam,1.0
Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15,spam,spam,spam,spam,spam,spam,spam,1.0
Got it..mail panren paru..,not spam,not spam,not spam,not spam,spam,not spam,not spam,0.2
* Was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train,not spam,spam,spam,not spam,spam,not spam,spam,0.6
How is your schedule next week? I am out of town this weekend.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Nt yet chikku..simple habba..hw abt u?,not spam,Not spam,not spam,not spam,not spam,not spam,not spam,0.0
Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY å£10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&,spam,spam,spam,spam,spam,spam,spam,1.0
SMS AUCTION You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,spam,spam,spam,spam,spam,spam,spam,1.0
"K, want us to come by now?",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Dont show yourself. How far. Put new pictures up on facebook.,not spam,spam,not spam,not spam,spam,not spam,not spam,0.4
"I'm not coming over, do whatever you want",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Did u see what I posted on your Facebook?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Call FREEPHONE 0800 542 0578 now!,spam,spam,spam,spam,spam,spam,spam,1.0
Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,spam,spam,spam,spam,spam,spam,spam,1.0
"Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",spam,spam,spam,spam,spam,spam,spam,1.0
BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary,spam,spam,spam,spam,spam,spam,spam,1.0
";-( oh well, c u later",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
No dear i do have free messages without any recharge. Hi hi hi,not spam,spam,not spam,spam,spam,not spam,spam,0.6
"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",not spam,spam,spam,spam,not spam,not spam,spam,0.6
Takin a shower now but yeah I'll leave when I'm done,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
U havenåÕt lost me ill always b here 4u.i didnåÕt intend 2 hurt u but I never knew how u felt about me when Iwas+marine&thatåÕs what itried2tell urmom.i careabout u,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk",spam,spam,spam,spam,spam,spam,spam,1.0
"Hey, can you tell me blake's address? Carlos wanted me to meet him there but I got lost and he's not answering his phone",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
That one week leave i put know that time. Why.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
